,0.0004,0.002,0.008,0.035,0.15,0.66,2.9,12.5
2.000,,,,,,,0.223198314,0.001047805
4.000,,,,,,,0.004127474,0.001015932
7.000,,,,,,,0.000908363,0.00062948
13.000,,,,,,,0.000179282,0.000390437
22.000,,,,,,,0.000107569,0.000231075
39.000,,,,,,,2.39043E-05,0.000103585
70.000,,,,,,,2.78883E-05,9.96012E-05
