,9.4,6.3,4.1,2.7,1.8,1.2,0.8
0.0004,4,4,,4,,4,
0.0020,2.005131454,12.04152175,,18.04271298,,99.96664954,
0.0080,6.004900379,4.046015753,,19.99431476,,99.97692041,99.99643029
0.0350,3.005565715,8.04579663,,15.17271644,,99.97762957,99.99633866
0.1500,4.006135434,4.055330457,5.435014203,,,99.98045426,99.99641037
0.6600,2.011135414,6.093386082,9.68554707,,,99.99316736,99.99826296
2.9000,5.078425982,17.47761563,,92.06272087,99.99043032,99.99681276,99.99888447
12.5000,,65.56335234,,99.9976016,99.99868526,99.99926694,99.99944223
