,0.0004,0.002,0.008,0.035,0.15,0.66,2.9,12.5
2.000,29.95728949,0.08605145,0.356373082,1.510320676,,,45.80860236,0.002924291
4.000,32.81652755,0.040828523,0.160126852,0.731925371,,,3.337787499,0.001844614
7.000,6.372413115,0.000972108,0.002573695,0.01483261,,,0.004378469,0.001147406
13.000,0.005952998,0,3.98405E-06,2.78883E-05,,,0.000577687,0.000513942
22.000,0.001927225,0,0,7.9681E-06,,,0.000191234,0.000290835
39.000,0.000822144,0,0,0,,,7.17129E-05,0.000175298
70.000,0.00024611,0,0,0,,,1.59362E-05,7.9681E-05
